Make,Model,Model Year,Mileage,ADS Equipped?,Incident Date,Incident Time (24:00),City,State,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Highest Injury Severity Alleged,Property Damage?,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),Weather
Cruise,AV,2023.0,12955.0,Yes,SEP-2023,04:59,Austin,TX ,Street,Dry,No Unusual Conditions,25.0,Dark - Lighted,Clear, , , , , ,No Injuries Reported,Yes,Proceeding Straight,No,No,No Passengers in Vehicle,1.0,Clear
Cruise,AV,2022.0,31256.0,Yes,SEP-2023,00:05,Tempe,AZ ,Street,Dry,No Unusual Conditions,25.0,Dark - Lighted,Clear, , , , , ,Fatality,Yes,Proceeding Straight,No,No,No Passengers in Vehicle,15.0,Clear
Cruise,AV,2022.0,4110.0,Yes,SEP-2023,17:32,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,No,No Passengers in Vehicle,0.0,Clear
Cruise,AV,2023.0,10564.0,Yes,SEP-2023,23:02,Austin,TX ,Street,Dry,No Unusual Conditions,25.0,Dark - Lighted,Clear, , , , , ,No Injuries Reported,Yes,Proceeding Straight,No,No,No Passengers in Vehicle,6.0,Clear
Cruise,AV,2023.0,6661.0,Yes,SEP-2023,22:16,San Francisco,CA ,Street,Dry,No Unusual Conditions,30.0,Dark - Lighted,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,No,No Passengers in Vehicle,0.0,Clear
Cruise,AV,2023.0,9942.0,Yes,SEP-2023,08:42,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Proceeding Straight,No,No,No Passengers in Vehicle,3.0,Clear
Cruise,AV,2020.0,78839.0,Yes,SEP-2023,09:37,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Proceeding Straight,No,No,Yes,10.0,Clear
Cruise,AV,2023.0,9518.0,Yes,SEP-2023,22:36,Austin,TX ,Intersection,Dry,No Unusual Conditions,30.0,Dark - Lighted,Clear, , , , , ,No Injuries Reported,Yes,Changing Lanes,No,No,Yes,24.0,Clear
Cruise,AV,2023.0,11107.0,Yes,SEP-2023,23:44,Austin,TX ,Intersection,Dry,No Unusual Conditions,30.0,Dark - Lighted,Clear, , , , , ,No Injuries Reported,Yes,Changing Lanes,No,No,No Passengers in Vehicle,25.0,Clear
Cruise,AV,2023.0,5690.0,Yes,SEP-2023,23:56,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Dark - Lighted,Clear, , , , , ,No Injuries Reported,Yes,Making Left Turn,No,No,No Passengers in Vehicle,10.0,Clear
Cruise,AV,2023.0,11338.0,Yes,SEP-2023,10:54,Austin,TX ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,No,No Passengers in Vehicle,0.0,Clear
Cruise,AV,2023.0,12955.0,Yes,SEP-2023,04:59,Austin,TX ,Street,Dry,No Unusual Conditions,25.0,Dark - Lighted,Clear, , , , , ,No Injuries Reported,Yes,Proceeding Straight,No,No,No Passengers in Vehicle,1.0,Clear
Cruise,AV,2022.0,31256.0,Yes,SEP-2023,00:05,Tempe,AZ ,Street,Dry,No Unusual Conditions,25.0,Dark - Lighted,Clear, , , , , ,Fatality,Yes,Proceeding Straight,No,No,No Passengers in Vehicle,15.0,Clear
Cruise,AV,2022.0,4110.0,Yes,SEP-2023,17:32,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,No,No Passengers in Vehicle,0.0,Clear
Cruise,AV,2023.0,10564.0,Yes,SEP-2023,23:02,Austin,TX ,Street,Dry,No Unusual Conditions,25.0,Dark - Lighted,Clear, , , , , ,No Injuries Reported,Yes,Proceeding Straight,No,No,No Passengers in Vehicle,6.0,Clear
Cruise,AV,2023.0,6661.0,Yes,SEP-2023,22:16,San Francisco,CA ,Street,Dry,No Unusual Conditions,30.0,Dark - Lighted,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,No,No Passengers in Vehicle,0.0,Clear
Cruise,AV,2023.0,5091.0,Yes,OCT-2023,21:29,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Dark - Lighted,Clear, , , , , ,Serious,No,Proceeding Straight,No,No,No Passengers in Vehicle,17.0,Clear
Jaguar,I-Pace,2021.0,48564.0,Yes,OCT-2023,17:47,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Dawn / Dusk,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,No,No Passengers in Vehicle,0.0,Clear
Cruise,AV,2023.0,5091.0,Yes,OCT-2023,21:29,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Dark - Lighted,Clear, , , , , ,Serious,No,Proceeding Straight,No,No,No Passengers in Vehicle,17.0,Clear
Jaguar,I-Pace,2021.0,56983.0,Yes,SEP-2023,19:12,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Dark - Lighted, , ,Cloudy, , , ,No Injuries Reported,Yes,Proceeding Straight,No,Yes,Yes,8.0,Cloudy
Cruise,AV,2023.0,5091.0,Yes,OCT-2023,21:29,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Dark - Lighted,Clear, , , , , ,Serious,No,Proceeding Straight,No,No,No Passengers in Vehicle,17.0,Clear
Cruise,AV,2023.0,5091.0,Yes,OCT-2023,21:29,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Dark - Lighted,Clear, , , , , ,Serious,No,Proceeding Straight,No,No,No Passengers in Vehicle,17.0,Clear
Cruise,AV,2023.0,11234.0,Yes,SEP-2023,09:20,Houston,TX ,Intersection,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Proceeding Straight,No,Yes,Yes,8.0,Clear
Jaguar,I-Pace,2021.0,48564.0,Yes,OCT-2023,17:47,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Dawn / Dusk,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,No,No Passengers in Vehicle,25.0,Clear
Cruise,AV,2023.0,11234.0,Yes,SEP-2023,09:20,Houston,TX ,Intersection,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Proceeding Straight,No,Yes,Yes,8.0,Clear
Lexus,RX 450h,2017.0,24459.0,Yes,SEP-2023,11:33,Emeryville,CA ,Highway / Freeway,Dry,No Unusual Conditions,55.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,Yes,Yes,0.0,Clear
Cruise,AV,2023.0,78839.0,Yes,SEP-2023,20:14,Houston,TX ,Intersection,Dry,No Unusual Conditions,30.0,Dark - Lighted,Clear, , , , , ,No Injuries Reported,Yes,Proceeding Straight,No,Yes,No Passengers in Vehicle,16.0,Clear
Cruise,AV,2023.0,78839.0,Yes,SEP-2023,20:14,Houston,TX ,Intersection,Dry,No Unusual Conditions,30.0,Dark - Lighted,Clear, , , , , ,No Injuries Reported,Yes,Proceeding Straight,No,Yes,No Passengers in Vehicle,16.0,Clear
Cruise,AV,2023.0,5634.0,Yes,SEP-2023,03:49,Austin,TX ,Intersection,Dry,No Unusual Conditions,30.0,Dark - Lighted,Clear, , , , , ,No Injuries Reported,Yes,Proceeding Straight,No,Yes,No Passengers in Vehicle,3.0,Clear
Jaguar,I-Pace,2021.0,69384.0,Yes,SEP-2023,17:02,Tempe,AZ ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Proceeding Straight,No,Yes,No Passengers in Vehicle,12.0,Clear
Cruise,AV,2023.0,5634.0,Yes,SEP-2023,03:49,Austin,TX ,Intersection,Dry,No Unusual Conditions,30.0,Dark - Lighted,Clear, , , , , ,No Injuries Reported,Yes,Proceeding Straight,No,Yes,No Passengers in Vehicle,3.0,Clear
Jaguar,I-Pace,2021.0,22784.0,Yes,SEP-2023,20:34,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Dark - Lighted, , ,Cloudy, , , ,No Injuries Reported,Yes,Parked,No,Yes,Yes,0.0,Cloudy
Jaguar,I-Pace,2021.0,51448.0,Yes,SEP-2023,18:26,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Dawn / Dusk,Clear, , , , , ,No Injuries Reported,Yes,Parked,No,Yes,No Passengers in Vehicle,0.0,Clear
Jaguar,I-Pace,2021.0,22784.0,Yes,SEP-2023,20:34,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Dark - Lighted, , ,Cloudy, , , ,No Injuries Reported,Yes,Parked,No,Yes,Yes,0.0,Cloudy
Jaguar,I-Pace,2021.0,14314.0,Yes,AUG-2023,16:38,Santa Monica,CA ,Traffic Circle,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,"Other, see Narrative",No,No,No Passengers in Vehicle,1.0,Clear
Jaguar,I-Pace,2021.0,54905.0,Yes,AUG-2023,21:55,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,No,No Passengers in Vehicle,0.0,Clear
Jaguar,I-Pace,2021.0,68966.0,Yes,AUG-2023,17:48,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,No,No Passengers in Vehicle,0.0,Clear
Jaguar,I-Pace,2021.0,46766.0,Yes,AUG-2023,16:45,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,No,No Passengers in Vehicle,0.0,Clear
Jaguar,I-Pace,2021.0,50153.0,Yes,AUG-2023,13:05,San Francisco,CA ,Street,Dry,No Unusual Conditions,35.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Proceeding Straight,No,No,No Passengers in Vehicle,17.0,Clear
Jaguar,I-Pace,2021.0,70925.0,Yes,AUG-2023,21:01,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Dark - Lighted,Clear, , , , , ,No Injuries Reported,Yes,Proceeding Straight,No,No,No Passengers in Vehicle,13.0,Clear
Jaguar,I-Pace,2021.0,97990.0,Yes,AUG-2023,19:38,Los Angeles,CA ,Street,Dry,No Unusual Conditions,25.0,Dawn / Dusk,Clear, , , , , ,No Injuries Reported,Yes,Parking Maneuver,No,No,No Passengers in Vehicle,7.0,Clear
Jaguar,I-Pace,2021.0,50308.0,Yes,AUG-2023,19:23,Phoenix,AZ ,Intersection,Dry,No Unusual Conditions,25.0,Dawn / Dusk,Clear, , , , , ,No Injuries Reported,Yes,Proceeding Straight,No,No,No Passengers in Vehicle,1.0,Clear
Jaguar,I-Pace,2021.0,63250.0,Yes,AUG-2023,15:36,Mesa,AZ ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Parked,No,No,No Passengers in Vehicle,0.0,Clear
Jaguar,I-Pace,2021.0,47248.0,Yes,AUG-2023,22:10,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Dark - Lighted,Clear, , , , , ,Minor,Yes,Stopped,No,No,Yes,0.0,Clear
Jaguar,I-Pace,2021.0,69522.0,Yes,AUG-2023,19:12,Phoenix,AZ ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Parked,No,No,No Passengers in Vehicle,0.0,Clear
Cruise,AV,2023.0,1588.0,Yes,AUG-2023,04:53,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Dark - Lighted, , ,Cloudy, , , ,No Injuries Reported,Yes,Proceeding Straight,No,No,Yes,7.0,Cloudy
Cruise,AV,2023.0,7593.0,Yes,AUG-2023,08:37,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight, , ,Cloudy, , , ,No Injuries Reported,Yes,Stopped,No,No,No Passengers in Vehicle,0.0,Cloudy
